,152,169,181,211,217,241
2077,NA,NA,0,NA,NA,NA
2078,NA,NA,0,NA,NA,NA
2079,NA,NA,0,NA,NA,NA
2083,NA,NA,0,NA,NA,NA
2091,NA,NA,0,NA,NA,NA
2099,NA,NA,0,NA,NA,NA
2100,NA,NA,0,NA,NA,NA
2104,NA,NA,0,NA,NA,NA
2105,NA,NA,0,NA,NA,NA
2109,NA,NA,0,NA,NA,NA
2110,NA,NA,0,NA,NA,NA
2116,NA,NA,0,NA,NA,NA
2128,NA,NA,0,NA,NA,NA
2129,NA,NA,1,NA,NA,NA
2139,NA,NA,3,NA,NA,NA
2142,NA,NA,0,NA,NA,NA
2143,NA,NA,0,NA,NA,NA
2148,NA,NA,2,NA,NA,NA
2149,NA,NA,3,NA,NA,NA
2150,NA,NA,1,NA,NA,NA
2152,NA,NA,0,NA,NA,NA
2153,NA,NA,0,NA,NA,NA
153,NA,2,1,NA,NA,NA
184,1,NA,7,NA,NA,NA
186,0,1,NA,NA,NA,NA
203,0,NA,0,NA,NA,NA
232,0,0,NA,NA,NA,NA
323,0,0,NA,NA,NA,NA
340,0,0,NA,2,NA,NA
345,0,0,NA,NA,NA,NA
413,2,NA,1,NA,NA,NA
434,1,NA,0,NA,NA,NA
437,0,NA,0,NA,NA,NA
441,0,0,,NA,NA,NA
443,0,NA,0,NA,NA,NA
541,5,NA,9,NA,NA,NA
542,0,NA,0,NA,NA,NA
609,0,0,,NA,NA,NA
632,0,NA,NA,0,NA,NA
713,0,0,NA,NA,NA,NA
727,0,0,0,NA,NA,NA
741,0,NA,0,NA,NA,NA
759,0,0,,NA,NA,NA
829,0,NA,0,NA,NA,NA
1030,0,0,NA,NA,NA,NA
1048,0,0,NA,NA,NA,NA
1203,0,0,NA,NA,NA,NA
1299,0,NA,0,NA,NA,NA
1486,0,0,NA,NA,NA,NA
1594,0,NA,0,NA,NA,NA
1945,0,0,NA,NA,NA,NA
1948,0,0,NA,NA,NA,NA
1966,7,3,NA,NA,NA,NA
2002,0,0,NA,NA,NA,NA
2039,0,0,NA,NA,NA,NA
2040,0,0,NA,NA,NA,NA
2051,0,0,NA,NA,NA,NA
2059,0,0,NA,NA,NA,NA
2068,0,0,NA,NA,NA,NA
2084,22,3,NA,NA,NA,NA
2085,0,0,NA,NA,NA,NA
2086,35,2,NA,NA,NA,NA
2154,0,0,NA,NA,NA,NA
